query,intent,sub_intents,
关于幽冥之刃的“恶怨亡魂”技能：当幽冥之刃单位中的模型被近战攻击消灭时，其如何进行反击？,Rule,Query,
关于凶暴复仇者的“剑刃风暴”技能：此技能的效果是什么？,Query,,
关于波蛇飞艇的“严重损伤”技能：当其耐伤值降低到多少时会触发什么效果？,Rule,Query,
关于“快速掷骰”：在什么情况下不能使用快速掷骰？,Rule,,
战巫密会和先知单位组成的联合单位，战巫议会的“保护（灵能）”技能如何生效？,Rule,Query,
关于战略预备队：在第二战斗轮次中，战略预备队单位可以在战场上部署在哪些位置？,Rule,,
拥有“独行特工”技能的单位（例如独角）在什么条件下可以被远程攻击选中？,Rule,,
凯恩化身的“熔岩身躯”技能有什么效果？,Query,,
关于致命伤：如果一次致命伤是由带有[毁灭伤害]技能的攻击的暴击致伤造成的，并且被分配的模型因此被摧毁，那么剩余的致命伤会怎样？,Rule,,
狂嚎女妖的“身手矫健”技能有什么效果？,Query,,
在指挥阶段结束时，一个单位是否可能进行两次战斗震慑测试？,Rule,,
猎鹰坦克完成射击后，其“火力支援”技能有什么效果？,Rule,,
在移动一个模型时，如果它需要转向，转向值如何计算和扣除？,Rule,,
猩红猎手的“苍穹猎手”技能对飞行单位攻击时有什么特殊加成？,Rule,,
“阶段外规则”中，当一个单位使用“警戒射击”计谋时，它能否触发自身在“己方射击阶段中，该单位进行射击后”触发的技能？,Rule,,
拥有“额外攻击”技能的武器，其攻击次数能否被其他规则修正？,Query,,
在《战锤40000》中，当多个修正效果同时应用于一个属性时（例如，既有除法又有加法），应按照什么顺序结算？,Rule,,
御风者单位的“破灭疾风”技能具体效果是什么？,Query,,
一个单位在什么时候可以搭乘友方运输工具？搭乘后有哪些限制？,Rule,,
当一个在战斗中被摧毁的模型通过规则返回单位时，它是否会回复所有失去的耐伤？,Rule,,
翔空司战的“不屈意志”技能有什么效果？,Query,,
使用“警戒射击”计谋进行攻击时，命中掷骰有什么特殊限制？,Rule,,
在第三战斗轮次及之后，战略预备队单位可以在战场上部署在哪些位置？,Rule,,
灵魂先知的“灵魂印记”技能有什么效果？,Query,,
如果多条规则同时要求一名玩家舍弃一次掷骰的最低/最高掷骰结果，玩家如何结算这些规则？,Rule,,
烈焰火龙的“灰飞烟灭”技能有什么作用？,Query,,
当两个或更多规则需要同时进行结算时，如何决定结算顺序？,Rule,,
暗影先知的“梦境迷雾（灵能）”技能有什么效果？,Query,,
如果一个规则会在某些情况“之后”被触发（例如“在一个单位选择攻击目标后”），它如何进行结算？,Rule,,
织星者飞艇的“快速上车”技能有什么效果？,Query,,
如果一个单位没有“深入打击”技能但被放入战略预备队，它如何抵达战场？,Rule,,
突击蝎的“战蝎激光”技能效果是什么？,Query,,
在废墟地形中，模型之间的可见性如何判断，尤其是当模型位于废墟内部或外部时？,Rule,,
幽冥领主的“宿命英雄”技能效果是什么？,Query,,
如果一个单位在回合结束时失去单位连续性，会发生什么？,Rule,,
猩红猎手的“苍穹猎手”技能有什么特殊加成？,Query,,
如果一个规则允许忽略对属性或掷骰的修正，这意味着可以忽略哪些类型的修正？,Query,,
狂嚎女妖的“身手矫健”技能有什么效果？,Query,,
灵魂先知的“伊莎之泪（灵能）”技能有什么效果？,Query,,
丑角有多少个不同的单位,List,,
艾达灵族有多少专属载具,List,,
除了司战（Autarch），艾达灵族还有哪些人物模型可以装备死亡纺织者（Death Spinner）？,List,,
艾达灵族有哪些单位可以使用手雷技能,List,,
艾达灵族有哪些骑乘单位,List,,
艾达灵族有哪些灵能者人物,List,,
艾达灵族有哪些凤凰领主,List,,
艾达灵族有哪些支派武士,List,,
艾达灵族有哪些飞行步兵,List,,
艾达灵族军队中有哪些武器拥有[洪流]（Torrent）技能？,List,,
除了司战（Autarch），艾达灵族还有哪些人物模型可以装备死亡纺织者（Death Spinner）？,List,,
钢铁军团有哪些近战步兵单位,List,,
暴风骑士团有多少专属近战武器,List,,
除了第一团长外，钢铁军团还有哪些人物可以使用战锤？,List,,
灵族中有哪些单位可以进行远程打击,List,,
混沌骑士团有哪些能够飞行的骑乘单位,List,,
帝国有哪些类型的防御工事,List,,
泰伦虫群中有哪些能使用重型武器的单位,List,,
纯净分支有多少种精英单位,List,,
艾达灵族中每种载具的 M 值各是多少,List,,
血天使中有哪些单位可以使用手雷技能,List,,
除了标准重步兵，死灵军团还拥有哪些重装单位？,List,,
混沌军团有哪些英雄模型,List,,
太空狼有哪些近战武器,List,,
审判庭中的审判官有哪些专属武器,List,,
黑暗天使有哪些能够隐形的单位,List,,
除了格雷法克斯外，审判庭中还有哪些人物模型？,List,,
帝国守卫中有哪些载具可装备火山炮,List,,
机甲军中有哪些装甲步兵单位,List,,
基因窃取者教派族有哪些灵能能力,List,,
混沌猪骑有哪些特殊战吼技能,List,,
帝国飞行部队有哪些飞行器单位,List,,
混沌风暴分支有哪些单位可以使用致盲武器,List,,
泰伦虫群有哪些适合突袭的近战单位,List,,
艾达灵族中除了凤凰领主，还有哪些独立人物？,List,,
混沌星际战士有哪些可以召唤混沌生物的单位,List,,
帝国坦克有哪些可以使用等离子炮,List,,
混沌领主有哪些增强护甲的法术,List,,
灵能学院中有哪些人物模型可以施放恢复法术,List,,
风暴战团中，暴风战士的M值和天启战士的M值相比，哪个更高？,Compare,Query,
钢铁守护者能装备的近战武器中，哪种武器的AP值最高？,Compare,List,
狂怒之拳和毁灭之锤哪个武器的S值更高？,Compare,Query,
破晓之刃和夜影之爪哪个武器的AP值更高？,Compare,Query,
雷霆坦克和毁灭坦克谁的T值更高？,Compare,Query,
审判骑士的等离子加农炮和光束喷射器哪个S值更高？,Compare,Query,
铁血骑士的等离子剑AP值和星辰骑士的能量斧AP值相比哪个更高？,Compare,Query,
黑曜星舰中，哪种武器具有最高射程？,Compare,List,
覆灭飞龙和毁灭机甲谁的M值更高？,Compare,Query,
血色收割者投掷飞斧的S值和掠夺者投掷长矛的S值哪个更高？,Compare,Query,
雷光战士的重型等离子枪AP值和毁灭力爆破枪的AP值哪个更高？,Compare,Query,
利刃战士的能量剑S值和光热斩斧的S值哪个更高？,Compare,Query,
"在暗夜魔女能装备的曲射武器里,那种武器射程最远",Compare,List,
暗夜魔女的爆裂箭和火焰箭哪个射程更远？,Compare,Query,
星际护卫的重型爆能枪AP值和激光步枪AP值哪个更高？,Compare,Query,
泰伦虫后使用的毒液爪S值和王爪的S值哪个更高？,Compare,Query,
骑士领主的雷霆战锤AP值和振荡长矛AP值哪个更高？,Compare,Query,
机械军团的震荡榴弹和塑能火箭哪个AP值更高？,Compare,Query,
圣殿驱逐舰的等离子炮S值和电磁炮S值哪个更高？,Compare,Query,
"当一队风暴守护者需要进行战斗震慑测试时,必须投出哪些数值以上的结果才能通过测试",Rule,Query,
"当一队单位用曲射武器去射击对方单位时, 哪些命中骰子的结果被视为命中",Rule,,
"一把武器的 S 值为 3,它有针对步兵 3+的关键字, 当它去射击一个 T 值为 7 的步兵单位时,哪些造伤结果被视为成功造伤",Rule,,
"一个联合单位有 13 个模型,当指挥阶段开始时他还剩下 6 个模型,此时他需要过战斗震慑测试吗?",Rule,,
"当一个单位加速后,他还能使用手雷技能吗?",Rule,,
"当一个单位进行撤退后,他还能执行任务动作吗?",Rule,,
飞行器单位可以在移动阶段保持静止吗?,Rule,,
"一台载具在玩家的增援阶段从战略预备队进入战场, 此时他需要摆放在对方单位的什么位置?",Rule,,
当一支霜刃战士遭遇恐惧测试时，需要投出哪些掷骰结果才能保持稳定,Rule,,
一把热能剑的AP值为-2，攻击护甲等级为3+的单位时，哪些投掷结果能穿透护甲造成伤害,Rule,,
一支步兵连在指挥阶段损失了4个模型，是否需要进行战斗震慑测试,Rule,,
当一队火焰喷射兵使用爆燃武器时，哪些命中结果被视为有效,Rule,,
当一支机械战队进行士气检定时，需要投出哪些数值才能免除逃跑,Rule,,
当一队支援单位携带曲射武器开火时，哪些掷骰结果算作命中,Rule,,
一把爆破武器的射程为24英寸，进行曲射攻击时，哪些距离下的投掷符合射程规则,Rule,,
一把爆破火箭的S值为8，攻击T值为8的装甲单位时，哪些造伤结果能摧毁装甲,Rule,,
当一队狙击手进行精准射击时，哪些掷骰结果被视为致命一击,Rule,,
在移动一个模型时，如果它需要转向，转向值如何计算和扣除？,Query,,
拥有“额外攻击”技能的武器，其攻击次数能否被其他规则修正？,Query,,
古墓指挥艇的“复活宝珠”装备技能有何效果？,Query,,
永恒守卫协议战略技能的使用对象是什么？,Query,,
黑暗面纱强化升级的效果是什么？,Query,,
当一个太空死灵单位激活重生协议时，如果单位中所有模型都拥有初始耐伤但兵力低于初始，会发生什么？,Rule,,
太空死灵的“觉醒王朝”分队基础能力是什么？,Query,,
相位征服者强化升级的【光环】效果范围是多少？,Query,,
死亡印记战略技能在敌方选择攻击目标后有什么效果？,Query,,
湮灭军团分队的“虚弱之痕”战略技能对攻击有何加成？,Query,,
当一个太空死灵单位使用“纳米重组协议”战略技能时，攻击的伤害属性会如何变化？,Rule,,
仪仗方阵分队的“有价值的敌人”基础能力如何生效？,Query,,
永恒征服者强化升级在什么条件下可以重投命中？,Query,,
荣誉战士强化升级在摧毁敌方角色单位后有什么效果？,Rule,,
无可匹敌战略技能对巫妖卫士或三圣单位的近战武器有什么加成？,Query,,
超相位召回战略技能需要多少指挥点数（CP）？,Query,,
当敌方单位在午夜寿衣移动中经过时，其“死亡之球”技能会造成什么效果？,Rule,,
黑石浮塔的“引力脉冲”技能在对手移动阶段开始时有什么效果？,Rule,,
超维魔方牢笼的“星神之力”技能如何选择攻击武器？,Rule,,
高斯巨石碑的“相位转移场”【光环】效果是什么？,Query,,
千子军团的“巫师密会”规则在什么时候可以尝试具现灵能仪式？,Rule,,
“操纵命运”灵能仪式在灵能测试结果为12+时，武器AP会如何变化？,Rule,,
至尊教会分队的“心灵漩涡”团策能力有什么效果？,Query,,
禁忌仪式之主强化升级如何影响灵能仪式的范围？,Query,,
心灵统治战略技能在被攻击单位上有什么防护效果？,Query,,
奥术专注战略技能可以重掷哪些骰子？,Query,,
红字军团分队的“皆为尘埃”团策如何修正护甲保护鉴定结果？,Query,,
虚界魔杖强化升级为近战武器增加哪些能力？,Query,,
狂热机兵战略技能允许红字单位在撤退后进行什么行动？,Query,,
变异地形战略技能如何影响目标点的控制？,Query,,
恶化机魂战略技能如何使载具单位忽略修正？,Query,,
亚空灌注战略技能在什么条件下提升攻击造伤掷骰结果？,Query,,
奸奇之触战略技能如何使奸奇变异体单位在加速回合射击和冲锋？,Query,,
守护邪咒战略技能对位于己方魔力流内的目标标记有何影响？,Query,,
穿越间隔战略技能如何为红字战士或圣甲虫终结者单位提供【深入打击】能力？,Query,,
万变风暴战略技能在何种条件下赋予目标单位【隐匿】技能和掩体增益？,Query,,
猩红之王 红魔马格努斯的“超自然力量”技能可以提供哪些效果？,Query,,
阿里曼的“奸奇高阶巫师”技能如何增加灵能测试结果？,Query,,
骑乘奸奇魔盘的高阶巫师的“奸奇幻像”技能如何限制远程攻击目标？,Query,,
巫师的“扭曲巫术”技能每场战斗一次如何提升灵能武器属性？,Query,,
终结者巫师的“命运印记”技能在射击后对敌方单位有何影响？,Query,,
炼狱之主的“永恒一瞥”技能每回合可以修改什么掷骰结果？,Query,,
带翼奸奇恶魔亲王的“灵魂猎手”技能在摧毁角色单位后有什么恢复效果？,Query,,
奸角兽萨满的“献祭祝福”技能如何提升灵能武器属性？,Query,,
红字战士的“万变使者”技能在什么条件下可以重掷致伤骰？,Query,,
圣甲虫终结者的“聚合仪式”技能如何减少攻击的致伤掷骰结果？,Query,,
奸角兽开悟者的“厄运预言”技能在完成冲锋移动后会造成什么伤害？,Query,,
圣血天使的“解放者突击队”分队基础能力是什么？,Query,,
原体之速强化升级如何使装备者所在单位获得【先攻】？,Query,,
鲜血碎片强化升级在装备者第一次被消灭时有什么效果？,Query,,
荣光牺牲战略技能的使用对象必须满足什么条件？,Query,,
圣吉列斯之怒战略技能如何使单位在加速后可以进行射击和冲锋？,Query,,
天使战群分队的“炽翼翔空”基础能力如何将单位移入战略预备队？,Query,,
战争工匠强化升级如何提升武器AP值和豁免值？,Query,,
蔑视甲胄战略技能如何削弱敌方攻击的AP值？,Query,,
但丁指挥官可以作为领袖加入哪些单位？,Query,,
雷马特斯的“迷失者守护人”技能如何降低敌方攻击的D值？,Query,,
阿斯托拉斯的“末日弥撒”技能在冲锋后为近战武器增加什么能力？,Query,,
首席智库墨菲斯顿的“凝滞瞥视”【光环】技能对敌方单位撤退有何影响？,Query,,
圣血祭司的“鲜血圣杯”技能如何增加近战武器的AP？,Query,,
装备跳跃背包的死亡连连长的“黑怒”技能在何种条件下会使单位OC变为0？,Query,,
死亡面具强化升级如何影响敌方单位的震慑测试？,Query,,
星界军的“指挥之声”技能可以在何时下达命令？,Query,,
“瞄准！”命令的效果是什么？,Query,,
合成作战兵团分队的“天生战士”基础能力对兵团单位有什么加成？,Query,,
欧安努斯死亡面具强化升级如何影响单位的OC值？,Query,,
集中命令战略技能可以指定多少个军官单位？,Query,,
攻城战兵团分队的“烧夷轰炸”炮火支援如何影响敌方单位？,Query,,
闪光手雷强化升级可以阻止敌方单位使用哪个战略技能？,Query,,
桥头堡突击队分队的“精准空投”战略技能有什么部署限制？,Query,,
空中撤离战略技能的使用对象是什么？,Query,,
太阳领主里昂图斯可以对哪些类型的单位下达命令？,Query,,
暴风兵指挥组的“暴风兵指挥”技能如何提升射击武器的能力？,Query,,
国教牧师的“战争圣歌”技能为近战武器增加什么能力？,Query,,
政委的“战场枪决”技能如何消除友军单位的【被震慑】状态？,Query,,
技术牧师工造士的“机神祝福”技能如何恢复友军载具的耐伤？,Query,,
卡迪安突击队的“突击队”技能如何影响目标点的控制？,Query,,
克里格死兵队中的模型可以将激光枪替换为什么武器？,Query,,
暴风兵飞鹰小队的“精准降落”技能在部署到战场时有何限制？,Query,,
欧格林小队的“狂轰乱炸”技能如何提升射击武器的AP值？,Query,,
装甲哨兵的“哨兵链锯”近战武器的属性是什么？,Query,,
奇美拉装甲车的“机动指挥车”技能有何效果？,Query,,
罗格多恩坦克的“反应装甲”技能有什么独特之处？,Query,,
九头蛇高射炮的“高射炮”技能对飞行单位攻击时有什么加成？,Query,,
蝎尾狮火箭炮的“怒火轰炸”技能如何降低敌方单位的OC值？,Query,,
飞龙自行火炮的“压制轰炸”技能如何对敌方单位造成【压制】效果？,Query,,
星际战士的“破敌重誓”阵营规则在什么条件下会额外增加攻击的造伤结果？,Query,,
铁砧攻坚部队分队的“战斗锤炼”战略技能在什么条件下使射击攻击视为暴击？,Query,,
钢铁风暴矛头分队的“机魂之力”战略技能有什么效果？,Query,,
烈火风暴突击部队分队的“近距离绝灭”基础能力是什么？,Query,,
精金披风强化升级如何降低分配给装备者的攻击破坏力？,Query,,
焚化协议战略技能如何使喷射武器获得【毁灭伤害】技能？,Query,,
一连特遣队分队的“恐怖震慑”战略技能在什么条件下对敌方单位进行战斗震慑测试？,Rule,,
智库密会分队的“灵能掌控”战略技能可以为射击攻击添加什么技能？,Query,,
正义远征军分队的“圣堂骑士誓言”中，“捍卫帝皇荣光”的效果是什么？,Query,,
卡尔加作为领袖可以加入哪些单位？,List,,
首席智库底格里斯的“预言大师”技能可以无CP消耗使用哪些战略技能？,List,,
坎托战团长的“激励人心”技能如何影响肃卫老兵小队的OC值？,Query,,
装备复合武器的先锋军副官的“暗影潜行”技能在什么条件下可以进行标准移动？,Rule,,
技术军士的“机神祝福”技能如何恢复友军载具的耐伤和提供特殊保护？,Query,,
药剂师的“回收基因种子”技能在保镖单位被消灭时有什么效果？,Rule,,
终结者旗手的“风暴盾”装备技能如何改变装备者的W值？,Query,,
剑卫旗手的“英雄伟业”技能有什么一次性效果？,Query,,
焚狱者小队的“焚烧灭尽”技能在射击完成后对敌方步兵单位有何影响？,Rule,,
渗透者小队的“信号干扰”技能对援军入场的敌方单位有何限制？,Query,,
蛮兽型无畏机甲的“蛮兽钢爪”近战武器有什么攻击数据？,Query,,
射手型无畏机甲的“射手轰炸”技能在何时可以重投命中结果？,Query,,
歼灭者型猎食者坦克的“歼灭者”技能如何影响对巨兽或载具单位的攻击？,Query,,
救赎者型兰德掠袭者坦克可以运载多少个百夫长模型？,Query,,
空降仓的“空降突击”技能允许其在何时部署入场？,Query,,
机械修会的“机神律令”中，“守护律令”有什么效果？,Query,,
辐射废土兵团分队的“辐射轰炸”基础能力如何影响位于对方部署区内的敌方单位？,Query,,
护教军猎兵大队分队的“撤离程序”战略技能可以移除哪些单位？,Query,,
数据唱经团分队的基础能力“机神颂歌”在游戏开始时有何选择？,Query,,
纳米蜂群强化升级为装备者所在单位提供什么技能？,Query,,
钢魂祷告战略技能如何使机械教单位对抗致命伤害时获得【不知疼痛】？,Query,,
复仇诗篇战略技能在机械教模型被消灭时如何使其进行近战攻击？,Query,,
控电祷文战略技能如何对6寸内敌方单位造成致命伤害？,Query,,
探索开拓团分队的“优先夺回”战略技能如何增加重整移动距离？,Query,,
自动神谕检索战略技能在何种条件下增加射击【探索目标】范围内敌方单位的造伤结果？,Query,,
机神加速战略技能如何提升机械修会载具单位的M值和冲锋结果？,Query,,
机魂复苏战略技能对【低于起始】的智控军团或机械修会载具单位有什么效果？,Query,,
精妙计算战略技能如何使机神律令的两条律令同时生效？,Query,,
贝利撒留考尔的“机神颂歌”技能有什么效果？,Query,,
机械主教的“数据探针”技能在近战阶段开始时如何对敌方载具单位造成致命伤害？,Query,,
工造修士的“机神祝福”技能如何恢复机械修会模型的耐伤？,Query,,
控电神甫的“磁力场”技能为领导的单位装备的武器增加什么能力？,Query,,
科技考古学家的“神圣秘宝寻觅者”技能如何影响OC值？,Query,,
护教军游猎兵的“信息猎手”技能在何种条件下可以重投命中结果？,Query,,
护教军先锋兵的“辐射污染”技能如何降低3寸内敌方非载具单位的OC值？,Query,,
西卡利安渗透者的“代码之声”技能在近战阶段开始时有什么触发效果？,Query,,
翼龙军天猎兵的“热流驭手”技能在射击完成后有什么移动效果？,Query,,
翼龙军净炎兵的“炙热焚焰”技能在何种条件下可以重投造伤结果？,Query,,
瑟贝利硫火犬的“破颅猛冲”技能对冲锋目标有什么额外效果？,Query,,
武装奴工突破者的“突破命令”技能在何种条件下可以重投命中结果？,Query,,
武装奴工毁灭者的“哨戒指令”技能如何影响坚守射击战略技能的命中结果？,Query,,
西多尼亚龙骑兵的“专注猎手”技能在游戏开始时有什么选择效果？,Query,,
天蝎座粉碎者坦克的“动力场”技能如何增强对近战攻击的豁免？,Query,,
沙丘爬行者机甲的“结构扫描”技能如何影响对巨兽或载具单位的攻击？,Query,,
始祖鸟燧火轰炸机的“炸弹投放”技能在完成标准移动后如何造成致命伤害？,Query,,
泰伦虫族的“节点生物”阵营规则如何影响节点范围内的友军泰伦虫族单位？,Query,,
“亚空间阴影”阵营规则每场游戏可以释放多少次？,Query,,
入侵舰队分队的“超强适应力”基础能力可以选择哪些效果？,Query,,
粉碎践踏者分队的“备用腺体”强化升级在何种条件下可以进行近战攻击？,Query,,
无尽虫群分队的“波涛虫海”战略技能有什么限制？,Query,,
同化虫群分队的“烧蚀甲壳”战略技能在何种条件下获得【不知疼痛4+】？,Query,,
猛攻先锋分队的“远征触须”基础能力对入侵先锋单位有什么额外移动效果？,Query,,
突触节点分队的“心灵哀歌”【光环】能力如何影响敌方单位的LD？,Query,,
地底突袭分队的“掘蟒首脑”强化升级如何提升掘蟒模型的属性？,Query,,
脑虫暴君可以作为领袖加入哪些单位？,Query,,
脑虫的“吸魂凝视”【光环，灵能】技能在敌方单位战斗震撼测试失败时有什么效果？,Query,,
族群领主的“阴险洞察”技能如何为领导的单位装备的武器添加能力？,Query,,
神经利卡特的“觅食触须”技能在消灭敌方人物模型后有什么效果？,Query,,
摩崔克斯寄生者的“寄生感染”技能在消灭敌方步兵模型后会添加什么单位？,Query,,
天巫的“空中掠食者”技能对飞行单位射击攻击有什么加成？,Query,,
孢子空投仓的“空投降落”技能有什么部署特点？,Query,,
沙蟒的“深渊恐怖”技能在部署到场时如何对敌方单位造成致命伤害？,Query,,
噬灵虫的“狂热进食”技能在何种条件下提升攻击命中和造伤结果？,Query,,
混沌骑士的“恐惧使者”阵营技能中，“绝望”光环是否可以与“夺魂惊悚”叠加？,Query,,
恐惧之影战略技能在使用后对敌方单位造成多少致命伤？,Query,,
颅骨王座强化升级在有什么效果,Query,,
亚空间猎手强化升级在何种条件下可以将携带者移出战场？,Query,,
腐败外壳强化升级如何恢复携带者失去的W值？,Query,,
邪秽共生战略技能如何使混沌骑士单位进入邪能奔涌状态？,Query,,
碾碎虫豸战略技能在混沌骑士角色单位结束常规移动后如何造成致命伤害？,Rule,,
渎神者骑士的“堕落之心”技能在何种条件下可以重掷命中和造伤骰？,Query,,
肆虐者骑士的“嗜血”技能在冲锋后为近战武器增加什么能力？,Query,,
复仇女神骑士的“自动修复模式”技能在指挥阶段结束时有什么效果？,Query,,
冥河骑士的“引力束缚”技能如何降低敌方单位的M值和冲锋结果？,Query,,
战犬肉食者的“肉食者”技能可以重投哪些骰子？,Query,,
战犬处决者的“处决者”技能在摧毁敌方单位后如何影响附近的敌方单位？,Query,,
战犬猎手的“猎手”技能对巨兽或载具单位攻击时有什么重掷效果？,Query,,
战犬天命者的“保护协议”技能有什么独特之处？,Query,,
在《战锤40000》中，如果一个单位使用了【重型】武器进行攻击，但其单位在本回合中没有保持静止，命中掷骰结果会如何变化？,Rule,,
纯净分支有多少种精英单位？,List,,
艾达灵族中每种载具的 M 值各是多少？,List,,
血天使中有哪些单位可以使用手雷技能？,List,,
除了荒蝎驱逐者，死灵军团还拥有哪些步兵单位？,List,,
混沌军团有哪些人物模型？,List,,
太空狼有哪些近战武器？,List,,
审判庭中的审判官有哪些专属武器？,List,,
黑暗天使有哪些能够隐形的单位？,List,,
帝国守卫中有哪些载具可装备火山炮？,List,,
机甲军中有哪些装甲步兵单位？,List,,
混沌猪骑有哪些特殊战吼技能？,List,,
帝国飞行部队有哪些战机型号？,List,,
哪些太空死灵单位拥有【重生协议】技能？,List,,
【太空死灵】阵营中的【史诗英雄】单位有哪些？,List,,
在【觉醒王朝】分队中，有哪些强化升级？,List,,
斯扎拉克的**T值**和伊莫泰克的**T值**哪个更高？,Compare,,
至尊星神的爆裂触须的**S值**和震荡突击的**S值**哪个更高？,Compare,,
传送霸主的霸主之刃的**S值**和明日之杖的**S值**哪个更高？,Compare,,
幽蛇驱逐者的**M值**和荒蝎驱逐者的**M值**哪个更高？,Compare,,
冥工哨戒蜈蚣的放逐大炮的**S值**和哨戒机械利爪的**S值**哪个更高？,Compare,,
超维方舟的高斯炮的**AP值**和特斯拉炮的**AP值**哪个更高？,Compare,,
古墓方尖碑的死光的**S值**和粒子长鞭的**S值**哪个更高？,Compare,,
黑石浮塔的特斯拉球的**S值**和装甲船体的**S值**哪个更高？,Compare,,
超维魔方牢笼的奇点发生器的**D值**和神经湮灭炮的**D值**哪个更高？,Compare,,
宏墓要塞的**T值**和古墓方尖碑的**T值**哪个更高？,Compare,,
红魔马格努斯的马格努斯凝视的**S值**和奸奇火焰风暴的**S值**哪个更高？,Compare,,
阿里曼的**M值**和红字战士的**M值**哪个更高？,Compare,,
千子维护者坦克的粉碎炮的**S值**和千子污染者的憎火裂解者手枪的**S值**哪个更高？,Compare,,
狂嚎女妖的女妖之刃的**AP值**和战巫密会的巫术之刃的**AP值**哪个更高？,Compare,,
音波炮平台的次元炮的**S值**和星镖枪的**S值**哪个更高？,Compare,,
因卡恩-死神化身的维利斯扎尔灵魂之剑的**S值**和魂能漩涡的**S值**哪个更高？,Compare,,
剧团长的热熔手枪的**S值**和神经干扰枪的**S值**哪个更高？,Compare,,
虚空编织者炮艇的光棱炮（聚焦光矛）的**S值**和虚空编织者紊乱炮的**S值**哪个更高？,Compare,,
太阳领主里昂图斯的**T值**和罗格多恩坦克指挥官的**T值**哪个更高？,Compare,,
卡迪安指挥组的等离子手枪（过载）的**S值**和榴弹发射器（破片）的**S值**哪个更高？,Compare,,
领主元帅德雷尔的牺牲指挥刀的**S值**和狂野利爪的**S值**哪个更高？,Compare,,
克里格指挥组的等离子手枪（过载）的**S值**和动力武器的**S值**哪个更高？,Compare,,
技术牧师工造士的工程师战斧的**S值**和机械臂的**S值**哪个更高？,Compare,,
卡迪安突击队的喷火器的**S值**和热熔枪的**S值**哪个更高？,Compare,,
欧格林小队的开膛枪（远程）的**A值**和开膛枪（近战）的**A值**哪个更高？,Compare,,
石化蜥蜴自行火炮的憾地炮的**射程**和蝎尾狮火箭炮的风暴鹰火箭的**射程**哪个更远？,Compare,,
地狱犬的狱火炮的**S值**和热熔炮的**S值**哪个更高？,Compare,,
野牛装甲车的双联自动炮的**A值**和风暴爆弹枪的**A值**哪个更高？,Compare,,
毒刃系列超重型坦克的岩浆炮的**S值**和火山激光炮的**S值**哪个更高？,Compare,,
马库拉格的盖伦·法拉德的奥特拉玛之拳的**S值**和常胜军动力剑的**S值**哪个更高？,Compare,,
首席智库底格里斯的帝皇之怒风暴（巫火）的**S值**和底格里斯之杖的**S值**哪个更高？,Compare,,
 西卡留斯连长的不败者的**S值**和伊代奥斯之剑的**S值**哪个更高？,Compare,,
铁父费罗斯的戈尔贡之怒的**S值**和齿轮之斧的**S值**哪个更高？,Compare,,
坎托战团长的多恩之箭的**S值**和惩戒铁拳的**S值**哪个更高？,Compare,,
锻造之父伏尔甘的伏尔甘之矛的**S值**和锻炉臂甲的**S值**哪个更高？,Compare,,
阿加通连长的萨拉曼德战锤的**S值**和格斗武器的**S值**哪个更高？,Compare,,
