query,intent,sub_intents,
帝皇冠军的爆弹手枪的**S值**和元帅的精工动力武器的**S值**哪个更高？,Compare,,
装备复合武器的先锋军副官的复合武器的**S值**和一对淬毒战斗刀的**S值**哪个更高？,Compare,,
药剂师的赦免者爆弹手枪的**S值**和还原者手枪的**S值**哪个更高？,Compare,,
生物学药剂师的赦免者爆弹手枪的**S值**和格斗武器的**S值**哪个更高？,Compare,,
旗手的风暴爆弹枪的**A值**和动力拳的**A值**哪个更高？,Compare,,
剑卫旗手的精工动力武器的**S值**和重型爆弹手枪的**S值**哪个更高？,Compare,,
元帅的精工动力武器的**S值**和等离子手枪（过载）的**S值**哪个更高？,Compare,,
堡主的爆弹手枪的**S值**和精工爆弹步枪的**S值**哪个更高？,Compare,,
突击终结者小队的雷霆锤的**S值**和一对闪电爪的**S值**哪个更高？,Compare,,
 终结者小队的风暴爆弹枪的**A值**和动力拳的**A值**哪个更高？,Compare,,
蛮兽型无畏机甲的蛮兽爆弹步枪的**AP值**和蛮兽铁拳的**AP值**哪个更高？,Compare,,
射手型无畏机甲的射手激光炮的**S值**和射手导弹发射器（破片）的**S值**哪个更高？,Compare,,
 歼灭者型猎食者坦克的猎食者双联激光炮的**S值**和风暴爆弹枪的**S值**哪个更高？,Compare,,
维护者突击炮的破坏者加农炮的**S值**和风暴爆弹枪的**S值**哪个更高？,Compare,,
贝利撒留考尔的太阳射线的**S值**和电弧长鞭的**S值**哪个更高？,Compare,,
机械主教的绝灭射线（分散）的**S值**和微型冲锋枪的**S值**哪个更高？,Compare,,
工造修士的机械教手枪的**S值**和机神战斧的**S值**哪个更高？,Compare,,
控电神甫的电磁长枪的**S值**和超音波炮的**S值**哪个更高？,Compare,,
科技考古学家的机械教手枪的**S值**和控制权杖的**S值**哪个更高？,Compare,,
智控数据技师的等离子连发枪（标准）的**S值**和队长格斗武器的**S值**哪个更高？,Compare,,
护教军游猎兵的辐射长管枪的**S值**和磷火短铳的**S值**哪个更高？,Compare,,
天蝎座粉碎者坦克的双联重型爆弹枪的**S值**和护教军游猎兵的超铀元素狙击枪的**S值**哪个更高？,Compare,,
始祖鸟燧火轰炸机的智能重机枪阵列的**A值**和装甲机体的**A值**哪个更高？,Compare,,
兵虫巢母的毒针弹幕的**S值**和大型镰刀爪的**S值**哪个更高？,Compare,,
诺恩使者的巨型镰刀爪的**S值**和巨型撕裂爪的**S值**哪个更高？,Compare,,
脑虫暴君的灵能尖啸的**S值**和利爪与触须的**S值**哪个更高？,Compare,,
脑虫的灵能冲击（普通）的**S值**和尖牙利爪的**S值**哪个更高？,Compare,,
族群领主的族群领主利爪的**S值**和神经利卡特的穿刺利爪的**S值**哪个更高？,Compare,,
神经利卡特的穿刺利爪的**S值**和毒烟虫的剧毒触手的**S值**哪个更高？,Compare,,
摩崔克斯寄生者的产卵针刺的**S值**和利爪肢体的**S值**哪个更高？,Compare,,
天巫的双联重型毒液炮的**S值**和双联重型绞藤炮的**S值**哪个更高？,Compare,,
孢子空投仓的孢子仓喷吐的**S值**和挥舞触手的**S值**哪个更高？,Compare,,
沙蟒的恐怖大嘴的**S值**和沙蟒镰刀爪的**S值**哪个更高？,Compare,,
巨噬兽的抓钩长舌的**S值**和吞噬大嘴的**S值**哪个更高？,Compare,,
毒鞭兽的剧毒触须（远程）的**S值**和剧毒触须（近战）的**S值**哪个更高？,Compare,,
离子炮兽的生化电浆炮的**S值**和强壮肢体的**S值**哪个更高？,Compare,,
刽子手的镰刀爪的**S值**和骨刀的**S值**哪个更高？,Compare,,
暴虐兽的碎裂炮的**S值**和食肉蜂巢的**S值**哪个更高？,Compare,,
枪虫的食肉枪的**S值**和枪虫射针拳的**S值**哪个更高？,Compare,,
刀虫的跳跃者利爪的**S值**和基因窃取者的镰刀利爪的**S值**哪个更高？,Compare,,
暴君护卫的粉碎钳与撕裂爪的**S值**和镰刀爪与撕裂爪的**S值**哪个更高？,Compare,,
毒烟虫的剧毒触手的**S值**和孢子兽的甲壳肢体的**S值**哪个更高？,Compare,,
孢子兽的孢子雷喷射炮的**S值**和甲壳肢体的**S值**哪个更高？,Compare,,
憎恶者骑士的爆燃喷射器的**S值**和恶魔重机枪的**S值**哪个更高？,Compare,,
掠夺者骑士的魔息热熔枪的**S值**和死神链锯剑（猛击）的**S值**哪个更高？,Compare,,
渎神者骑士的死神链锯剑（横扫）的**S值**和冥神攻城爪（猛击）的**S值**哪个更高？,Compare,,
肆虐者骑士的黑焰矛的**S值**和恶魔重机枪的**S值**哪个更高？,Compare,,
复仇女神骑士的闪电炮的**S值**和死神链锯剑（横扫）的**S值**哪个更高？,Compare,,
战犬暴匪的复仇者链炮的**S值**和魔息矛的**S值**哪个更高？,Compare,,
战犬猎手的魔息矛的**S值**和魔息热熔枪的**S值**哪个更高？,Compare,,
惩戒者骑士的复仇者加特林的**S值**和屠夫链锯炮的**S值**哪个更高？,Compare,,
牛头怪骑士的牛头怪爆燃重炮的**S值**和双联转换光束炮的**S值**哪个更高？,Compare,,
巨人王骑士的阿卡斯托斯自动炮的**S值**和钢铁风暴导弹仓的**S值**哪个更高？,Compare,,
斯扎拉克的**W值**和至尊星神的**W值**哪个更高？,Compare,,
传送霸主的**W值**和科技技师的**W值**哪个更高？,Compare,,
荒蝎驱逐者的**SV值**和幽蛇驱逐者的**SV值**哪个更高？,Compare,,
剥皮者的**W值**和三圣禁卫的**W值**哪个更高？,Compare,,
冥工哨戒蜈蚣的**OC值**和古墓机奴的**OC值**哪个更高？,Compare,,
午夜寿衣的**W值**和超维方舟的**W值**哪个更高？,Compare,,
古墓方尖碑的**OC值**和黑石浮塔的**OC值**哪个更高？,Compare,,
红魔马格努斯的**W值**和阿里曼的**W值**哪个更高？,Compare,,
千子维护者坦克的**W值**和千子重锤魔的**W值**哪个更高？,Compare,,
狂嚎女妖的**W值**和战巫密会的**W值**哪个更高？,Compare,,
音波炮平台的**W值**和伊芙蕾尼-生命之仆的**W值**哪个更高？,Compare,,
虚空编织者炮艇的**W值**和剧团长的**W值**哪个更高？,Compare,,
太阳领主里昂图斯的**W值**和领主元帅德雷尔的**W值**哪个更高？,Compare,,
卡迪安指挥组的**LD值**和克里格指挥组的**LD值**哪个更高？,Compare,,
罗格多恩坦克指挥官的**OC值**和暴风兵指挥组的**OC值**哪个更高？,Compare,,
国教牧师的**W值**和政委的**W值**哪个更高？,Compare,,
技术牧师工造士的**W值**和卡迪安突击队的**W值**哪个更高？,Compare,,
卡塔昌丛林战士的**SV值**和克里格死兵队的**SV值**哪个更高？,Compare,,
暴风兵小队的**T值**和欧格林小队的**T值**哪个更高？,Compare,,
石化蜥蜴自行火炮的**W值**和蝎尾狮火箭炮的**W值**哪个更高？,Compare,,
地狱犬的**T值**和野牛装甲车的**T值**哪个更高？,Compare,,
毒刃系列超重型坦克的**W值**和巴尔掠食者的**W值**哪个更高？,Compare,,
马库拉格的盖伦·法拉德的**W值**和首席智库底格里斯的**W值**哪个更高？,Compare,,
西卡留斯连长的**W值**和文崔斯连长的**W值**哪个更高？,Compare,,
铁父费罗斯的**W值**和坎托战团长的**W值**哪个更高？,Compare,,
锻造之父伏尔甘的**W值**和阿加通连长的**W值**哪个更高？,Compare,,
格瑞马都斯牧师的**W值**和帝皇冠军的**W值**哪个更高？,Compare,,
药剂师的**W值**和生物学药剂师的**W值**哪个更高？,Compare,,
旗手的**W值**和剑卫旗手的**W值**哪个更高？,Compare,,
元帅的**W值**和堡主的**W值**哪个更高？,Compare,,
突击终结者小队的**W值**和终结者小队的**W值**哪个更高？,Compare,,
蛮兽型无畏机甲的**W值**和射手型无畏机甲的**W值**哪个更高？,Compare,,
 歼灭者型猎食者坦克的**W值**和维护者突击炮的**W值**哪个更高？,Compare,,
贝利撒留考尔的**W值**和机械主教的**W值**哪个更高？,Compare,,
工造修士的**W值**和控电神甫的**W值**哪个更高？,Compare,,
护教军游猎兵的**W值**和护教军先锋兵的**W值**哪个更高？,Compare,,
翼龙军净炎兵的**W值**和西多尼亚龙骑兵的**W值**哪个更高？,Compare,,
沙丘爬行者的**W值**和天蝎座粉碎者坦克的**W值**哪个更高？,Compare,,
当友方太空死灵单位位于斯扎拉克模型6英寸内时，如果该单位进行攻击，命中掷骰结果为1时可以重掷，致伤掷骰结果为1时也可以重掷吗？,Rule,,
当千子军团的巫师模型尝试具现灵能仪式时，如果掷骰结果中出现双骰或三骰，该模型所在单位会受到什么影响？ ,Rule,,
如果一个混沌骑士单位在移动阶段中穿越高度大于4寸的地形，它需要进行什么测试，以及可能的后果是什么？,Rule,,
当圣血天使的阿斯塔特修会单位进行了冲锋后，在近战阶段结束前，其近战武器的力量值和攻击次数会如何变化？ ,Rule,,
当一个星界军单位进行了加速后，它还能否使用手雷技能？ ,Rule,,
当机械修会单位使用辐射废土兵团的分队基础能力时，位于对方部署区的敌方单位在选择躲避轰炸时，造伤结果和震慑状态会受到什么影响？ ,Rule,,
当泰伦虫族的巨兽单位低于一半初始兵力时，其攻击的造伤结果会如何变化？ ,Rule,,
圣血天使的“不破造物”技能如何影响对力量属性大于韧性属性的攻击的致伤掷骰结果？ ,Rule,,
当一个混沌骑士单位使用**“蔑视弱者”战略技能后，如果攻击它的敌方单位处于战斗震慑状态**，混沌骑士单位将获得什么类型的不觉疼痛效果？ ,Rule,,
如果太空死灵单位拥有**“相位征服者”光环技能**，其友方太空死灵单位（角色单位除外）在攻击时命中结果会如何变化？ ,Rule,,
当一个千子军团单位使用了**“狂热机兵”战略技能后，它在撤退后的回合中还能否进行射击**？,Rule,,
如果圣血天使的**“命定牺牲”强化升级触发，需要投出什么结果才能重新部署到战场上，并且恢复多少耐伤？,Rule,,
当机械修会的“机械主宰”强化升级生效时，它如何影响12寸内敌方载具单位的领导力测试和射击能力**？,Rule,,
泰伦虫族的**“异形奸诈”强化升级如何影响单位的重新部署**，以及是否会突破战略预备队数量限制？,Rule,,
当混沌骑士的**“超重型机甲”技能允许其在敌方接战范围内移动时，它有哪些限制**？,Rule,,
当太空死灵单位中的模型进行攻击时，如果其角色模型领导该单位，命中掷骰会受到什么影响？,Rule,,
当圣血天使的**“炽翼翔空”分队基础能力生效时，在对手回合结束时会发生什么，以及它们在己方移动阶段的增援步骤中如何部署**？,Rule,,
如果星界军的暴风兵指挥官使用了指挥节杖，他所领导的单位可以被多少条不同的命令同时影响？,Rule,,
当机械修会的**“圣灵披风”强化升级生效时，的破坏力会如何变化？,Query,,
泰伦虫族的“虚无节点”强化升级如何影响灵能攻击分配给该模型的不觉疼痛能力？,Query,,
当混沌骑士的“炼狱长枪”分队中的单位进入“邪能奔涌”状态时，它们需要进行什么测试，如果失败会受到什么伤害？,Rule,,
千子军团的“操纵命运”灵能仪式如何提升武器的护甲穿透属性**？ ,Query,,
当圣血天使的**“复仇猛攻”强化升级生效时，如果装备者被消灭**，死亡连模型在攻击时命中掷骰会受到什么影响？,Rule,,
如果星界军的侦察小队使用**“游击战术”技能**，在对方回合结束时，如果其单位距离所有敌方单位水平距离超过6寸，该单位会发生什么变化？,Rule,,
当机械修会的**“修造技师”强化升级生效时，它如何影响友军智控军团或机械修会载具模型的保护投掷失败时受到的攻击破坏力**？ ,Rule,,
泰伦虫族的**“酸液器官”战略技能如何影响拥有致命破灭技能的泰伦虫族巨兽模型被消灭时的致命破灭判定**？ ,Rule,,
混沌骑士的**“命运之镜”强化升级如何影响指挥重掷战略技能的CP消耗**，以及它如何影响对手使用战略技能的CP消耗？ ,Rule,,
当太空死灵的**“重生协议”被激活时，它如何根据模型是否耐伤低于初始或单位是否低于初始兵力**来恢复模型或增加模型？,Rule,,
混沌骑士的哪些**“恐惧”技能被明确标记为光环（Aura）**技能？,List,,
太空死灵的“冥工王庭”分队中，哪个强化升级可以使持有者所在的单位获得**【渗透者】**技能？,List,,
泰伦虫族的“无尽虫群”战略技能“波涛虫海”在每场游戏中能使用几次，以及其效果是什么？,Query,,
泰伦虫族的“亚空间阴影”种族规则是怎么运作的？,Query,,
"太空死灵的“魂骨节点”强化升级为持有者所在单位提供什么技能？, ",Query,,
泰伦虫族有哪些T值高于10的巨兽单位？,List,,
太空死灵有哪些SV低于4+的步兵单位？,List,,
绿皮兽人有哪些分队？,List,,
绿皮兽人的步兵单位中，有哪些单位的OC大于1,List,,
黑暗灵族的哪些单位有“隐秘”能力,List,,
黑暗灵族的哪些单位有“深入打击”能力,List,,
混沌骑士的憎恶者骑士在移动时可以无视高度小于等于4英寸的地形吗？,Query,,
炼狱长枪分队的**“恶魔之力”**技能可以让武器获得【致命一击】或【连击1】中的哪一个？,Query,,
混沌骑士的**“碾碎虫豸”**战略技能对被越过的非巨兽/载具敌方单位造成致命伤后，会强制其进行战斗震慑测试吗？,Query,,
混沌骑士的战犬猎手单位攻击巨兽或载具单位时，可以重掷造伤掷骰吗？,Query,,
混沌骑士的暴君骑士的**“腐化要塞”**技能会阻止敌方增援单位在模型12英寸内部署吗？,Query,,
星界军的军官模型下达**“一排放！二排放！”**命令时，会提升【速射】武器的攻击属性吗？,Query,,
星界军的卡塔昌丛林战士单位拥有【斥候6】技能吗？,Query,,
星界军的欧格林小队单位拥有【不知疼痛6+】技能吗？,Query,,
星界军的石化蜥蜴自行火炮的憾地炮拥有【曲射】技能吗？,Query,,
星界军的九头蛇高射炮的**“高射炮”**技能在攻击飞行单位时允许重投命中掷骰吗？,Query,,
千子军团的骑乘奸奇魔盘的高阶巫师领导的联合单位，在远程攻击时只能被多少距离内的敌方模型选择为目标？,Query,,
千子军团的**“红字出土”**强化升级能为哪些单位提供【渗透】能力？,Query,,
千子军团的**“狂热机兵”**战略技能允许红字单位在撤退后进行射击和冲锋吗？,Query,,
 千子军团的奸奇恶魔亲王的**“奸奇幻像”**光环技能为己方千子军团步兵单位提供【隐匿】技能吗？,Query,,
千子军团的圣甲虫终结者单位是否可以装备重型亚空间火焰喷射器或灵魂收割者炮？,Query,,
千子军团的装备巨弓的奸角兽开悟者单位的**“恶意诡计”**能力允许其在敌方单位移动进入9寸内后进行常规移动吗？,Query,,
千子军团的千子污染者的**“爬行机甲”**技能允许其越过己方巨兽和载具模型吗？,Query,,
千子军团的千子地狱飞龙的**“火焰缠绕”**技能是否会导致被越过的敌方单位失去掩体增益？,Query,,
千子军团智库密会分队的**“念力投掷”**战略技能投掷多少枚D6造成致命伤害？,Query,,
千子军团正义远征军分队的**“塔恩豪瑟遗骨”**强化升级能使分配给持有者的攻击伤害属性减半吗,Query,,
近战阶段开始时，丑角剧团可以使用哪些能力,Rule,List,
黑暗灵族有哪些特殊人物单位,List,,
黑暗灵族的哪些分队可以联军丑角单位,List,,
千子军团的末日烈焰法杖强化升级允许选择哪个灵能仪式?,List,,
千子军团的毁灭巫术战略技能增加灵能武器射程多少寸,Query,,
千子军团的诡骗魔军队策中的“恶魔幻象”光环提供多少特殊保护,Query,,
黑暗灵族的痛苦印记可以在哪些阶段使用，效果是什么？,Query,,
当一名司战带领一队突击蝎单位时，他可以获得那些关键字,Query,,
翔空司战可以选择哪些近战武器升级,List,,
阿苏焉尼有哪些拥有战斗专注的单位,List,,
混沌星际战士有多少个巨兽人物,List,,
支派武士有哪些拥有近战武器的单位,List,,
死神军中有哪些骑乘单位,List,,
千子军团中哪些单位的规模可以扩大到10个模型及以上,List,,
支派武士有哪些拥有光环能力的单位,List,,
凤凰领主有哪些可以装备关键词的单位,List,,
幽冥构造体有多少个强化升级,List,,
死神军有哪些可以使用武器的单位,List,,
骑乘单位中有哪些具备特定关键词的光环能力的单位,List,,
丑角有多少个技能,List,,
死神军中有哪些具备特定关键词的近战武器的单位,List,,
支派武士分队有多少个强化升级,List,,
骑乘单位有哪些具备特定关键词的战略技能的单位,List,,
丑角中有哪些拥有关键词的单位,List,,
幽冥构造体有哪些具备远程武器的单位,List,,
阿苏焉尼有哪些可以装备战斗专注的单位,List,,
阿苏焉尼有哪些具备特定关键词的战斗专注的单位,List,,
凤凰领主有哪些可以使用关键词的单位,List,,
丑角有多少个光环能力,List,,
骑乘单位有哪些专属的远程武器的单位,List,,
艾达灵族中有哪些具备武器的单位,List,,
幽冥构造体有多少个斥候技能,List,,
凤凰领主中有哪些具备斥候技能的单位,List,,
支派武士有哪些拥有关键词的单位,List,,
幽冥构造体有哪些拥有远程武器的单位,List,,
艾达灵族中有哪些具备特定关键词的近战武器的单位,List,,
阿苏焉尼有哪些具备特定关键词的强化升级的单位,List,,
幽冥构造体中有哪些可以使用斥候技能的单位,List,,
凤凰领主有哪些可以使用战略技能的单位,List,,
死神军中有哪些具备斥候关键词的单位,List,,
骑乘单位中有哪些可以获得战略技能的单位,List,,
丑角可以装备哪些近战武器？,List,,
凤凰领主有哪些可以使用战斗专注的单位,List,,
幽冥构造体有多少个远程武器,List,,
死神军有哪些可以使用斥候技能的单位,List,,
艾达灵族中有哪些具备特定关键词的武器的单位,List,,
艾达灵族有多少个巨兽单位,List,,
幽冥构造体中有哪些可以装备远程武器的单位,List,,
支派武士有哪些具备特定关键词的强化升级的单位,List,,
骑乘单位有多少个武器,List,,
艾达灵族中有哪些具备特定关键词的关键词的单位,List,,
支派武士中有哪些可以获得远程武器的单位,List,,
凤凰领主有哪些专属的武器,List,,
死神军有哪些可以装备强化升级的单位,List,,
凤凰领主中有哪些具有飞行关键字？,List,,
网道幽灵分队有多少个战略技能,List,,
战火军阵分队有哪些升级强化,List,,
绿皮兽人有多少个分队?,List,,
战锤 40K 的主规则里有多少个通用战略计谋,List,,
总规则里一个回合有多少个阶段?,List,,
命令重投技能可以重投哪些骰子的结果?,Rule,,
"在冲锋阶段,当一个单位 A 冲锋了另一个有’先攻’能力的单位 B, 在接下来的近战阶段中,哪个单位先出手进行近战",Rule,,
"当一把带有’精准’关键字的武器攻击一个联合单位, 由这个联合单位的哪个模型开始投掷保护骰子?",Rule,,
飞行器在移动阶段可以保持静止吗?,Query,,
"在移动阶段中,玩家将一台专属载具从预备队中放置到场内,此时这台载具里的乘客可以下车吗?",Rule,,
"每个玩家回合里,玩家做的最后一件事是什么?",Rule,,
"在玩家的指挥阶段中,一名玩家要进行哪些操作?",Rule,,
"在玩家回合结束时,如果一个单位无法保持连续性,会发生什么事?",Rule,,
"在玩家的移动阶段, 一个玩家可以通过移动一个单位,让他们主动脱离连续性吗? ",Rule,,
"当一个单位从载具中下车的时候,这些模型的摆放位置有什么限制吗?",Rule,,
"当一个玩家可以重投一个单位的所有命中时,他可以选择重投哪些已经成功命中的骰子吗?",Rule,,
"当千面带领一个单位时, 他会获得什么能力",Rule,,
"一个载具单位处于对方一个单位A的近战范围内,在接下来的对方移动阶段,对面的单位 B 移动到他的 24 寸内, 这个载具单位可以使用警戒射击吗?",Rule,,
"一个巨兽单位处于对方一个单位 A 的近战范围内, 在接下来的己方射击阶段, 他可以射击处于自己近战范围内的单位A 吗?",Rule,,
"一个骑乘单位在己方的移动阶段,可以穿越废墟地形吗?",Rule,,
"如果一个单位有”12 寸内每次对方使用计谋时,CP 消耗+1”的能力, 在己方的增援入场阶段,对方一个单位 B 使用快速入场计谋, 此时对方的 CP 消耗会+1 吗?",Rule,,
"如果一个单位 A 有”9 寸内每次己方使用计谋时,CP 消耗-1”的能力,那么在对面的增援入场阶段,他的另一个单位使用快速入场计谋,此时他的 CP 消耗会-1吗?",Rule,,
"如果一个单位 A 有”每次自己所在单位使用计谋时,CP 消耗-1 “的能力,那么在对面的增援入场阶段,他使用快速入场计谋时,CP 消耗会-1 吗?",Rule,,
一个单位最多可以被多少个单位领导?,Query,,
"一把 S8 的武器去攻击一个 T4 的单位,哪些造伤结果会被视为成功造伤?",Rule,,
"混沌骑士的 模型, 在移动的时候绕着某个点旋转 90 度,应该消耗多少转向值",Rule,,
"我想知道, 一个单位在移动的时候,是否可以从对方单位的正上方绕过.",Rule,,
"我有一个问题, 我使用的是灰骑士 CODEX, 如果我有一个动作需要在对手的回合阶段结束,那么他还能触发无限之门能力吗?",Rule,,
"我想知道,当死亡守卫的一个单位射击一个对方单位,对方单位有 3 个模型位于死亡守卫的传染光环内, 第一把武器射击掉 3 个模型,对面把这三个模型拔出,当第二把武器射击时,对方单位还视为被感染吗?",Rule,,
"我有一个问题,当混沌星际战士联军死亡守卫的瘟疫战士时, 瘟疫战士射击后,对方单位会被视为被感染吗?",Rule,,
"一个问题, 亚空间阴影的震慑和灵能利卡特的震慑分别是在哪个阶段触发的?",Query,,
"在我组建一支艾达灵族军队的时候,如果我选择了战火军阵作为我的分队,那么我最多可以上几个剧团长?",Rule,,
"在艾达灵族的军队里,有哪些单位的 M 值和波蛇飞艇一样",List,,
"如果一个战火军阵的大先知模型使用了凤凰宝珠, 在他第一次被消灭的时候,他投出了 1,会发生什么结果",Rule,,
瘟疫携带者有渗透关键字吗?,Query,,
凶暴复仇者有手雷关键字吗?,Query,,
太空死灵有载具单位吗?,Query,,
剥皮者的武器有双联效果吗?,Query,,
"灾荒驱逐者能装备的武器中,有哪些武器是带有双联关键字的?",List,,
基因窃取者教派的杀手种有斥候能力吗?,Query,,
"千子军团的载具中,有能渗透的单位吗?",List,,
神经利卡特的武器有精准关键字吗?,Query,,
"在总规则里,有规定游戏要进行多少轮吗?",Query,,
太空死灵军队能激活重生协议吗? ,Query,,
湮灭军团分队的基础能力是歼灭协议吗? ,Query,,
幽冥魂棺强化升级能让联合单位获得隐秘技能吗? ,Query,,
永恒守卫协议战略技能可以在一个太空死灵步兵角色模型被摧毁时使用吗? ,Query,,
不死军团协议战略技能能让单位激活重生协议吗?,Query,,
 无魂收割者强化升级能阻止敌方单位撤退吗? ,Query,,
纳米重组协议战略技能能降低攻击的伤害属性吗?,Query,,
次元圣所强化升级能让持有者所在单位获得渗透者技能吗?,Query,,
量子偏转战略技能能让太空死灵载具单位具有特殊保护4+吗? ,Query,,
斯扎拉克，寂静之王有特殊保护技能吗? ,Query,,
无尽者塔拉辛的移情湮灭杖有连击D3技能吗?,Query,,
 戴冠将军赞德瑞克可以领导巫妖卫士单位吗? ,Query,,
皇家督军所在单位可以在撤退回合进行射击或冲锋吗? ,Query,,
领主之刃有毁灭伤害技能吗? ,Query,,
离子技师能让远程攻击的未修正5+命中视为暴击命中吗? ,Query,,
灾蝗领主的纳米圣甲虫护符提供不觉疼痛5+技能吗? ,Query,,
六印驱逐者有独行特工技能吗? ,Query,,
重装灾蝗驱逐者的高斯破坏炮有致命一击技能吗? ,Query,,
冥工赋生者能提供不觉疼痛4+技能吗? ,Query,,
古墓飞刃的星云视镜能让远程武器拥有无视掩体技能吗? ,Query,,
剥皮者的剥皮利爪有双联技能吗? 三圣追猎者是载具单位吗? ,Query,,
莱凯丝有深入打击核心技能吗? ,Query,,
双子蛛巢射击武器有洪流技能吗? ,Query,,
突击蝎有渗透者核心技能吗? ,Query,,
伊弗蕾妮是史诗英雄吗? ,Query,,
因卡恩-死神化身有致命破灭 D3核心技能吗? ,Query,,
暗影先知有隐匿核心技能吗? ,Query,,
织星者飞艇有火力平台6核心技能吗? ,Query,,
命定毁灭灵能仪式能重投命中1吗? ,Query,,
虚界魔杖强化升级能让近战武器获得毁灭伤害能力吗? ,Query,,
带翼奸奇恶魔亲王有深入打击核心技能吗? ,Query,,
千子混沌卵有不觉疼痛5+核心技能吗? ,Query,,
赛赫塔机器人有渗透核心技能吗?,Query,,
 千子地狱飞龙是飞行器吗? ,Query,,
解放者突击队分队的基础能力是猩红饥渴吗? ,Query,,
原体之速强化升级能让单位获得先攻吗? ,Query,,
首席智库墨菲斯顿有独行特工核心技能吗? ,Query,,
圣血祭司能让所领导的单位拥有不知疼痛5+吗? ,Query,,
死亡连小队有不知疼痛6+核心技能吗? ,Query,,
指挥之声能力能让军官模型下达命令吗? ,Query,,
增援到来战略技能能让被消灭的兵团步兵单位重新加入军队吗? ,Query,,
孤胆英雄马博有渗透核心技能吗? ,Query,,
蝎尾狮火箭炮的风暴鹰火箭有曲射技能吗? ,Query,,
毒刃系列超重型坦克有致命破灭D6+2核心技能吗? ,Query,,
精工护甲强化升级能提供不知疼痛5+技能吗? ,Query,,
不惧强敌战略技能能重投巨兽或载具单位的造伤结果吗? ,Query,,
人类冠军强化升级能让领导的单位忽视属性修正吗? ,Query,,
轨道传送战略技能能将终结者单位放入战略预备队吗? ,Query,,
千子锻炉魔是机甲单位吗?,Query,,
 千子军团中，有拥有飞行飞行器关键词的单位吗？ ,List,,
在圣血天使阵营的解放者突击队分队中，哪些强化升级能使单位获得先攻技能？ ,List,,
星际战士阵营中，哪些阿斯塔特修会模型可以装备精工护甲强化升级？,List,,
 圣血天使阵营中，有独行特工的人物吗？ ,List,,
圣血天使阵营中，有单位可以由圣血祭司领导吗？ ,List,,
圣血天使阵营中，哪些步兵单位拥有不知疼痛6+核心技能？ ,List,,
星界军阵营中，哪些军官模型拥有指挥之声能力？ ,List,,
星界军阵营的合成作战兵团分队中，哪些兵团步兵友军单位可以被增援到来战略技能重新加入军队？ ,List,,
星界军阵营中，哪些史诗英雄拥有渗透核心技能？ ,List,,
星界军阵营中，哪些单位装备的武器拥有曲射技能？ ,List,,
星界军阵营中，哪些超重型坦克拥有致命破灭D6+2核心技能？ ,List,,
机械修会阵营中，哪些技术牧师模型可以装备修造技师强化升级？,List,,
 星际战士阵营的铁砧攻坚部队中，哪些单位能够使用不惧强敌战略技能？ ,List,,
星际战士阵营中，哪些人物模型可以装备人类冠军强化升级？ ,List,,
星际战士阵营的一连特遣队中，哪些终结者友军单位可以被轨道传送战略技能放入战略预备队？ ,List,,
千子军团中，哪些机甲单位拥有致命破灭D3技能？,List,,